"Código","Nome Município","Hepatite D Total","Hepatite D 1999-2007","Hepatite D 2008","Hepatite D 2009","Hepatite D 2010","Hepatite D 2011","Hepatite D 2012","Hepatite D 2013","Hepatite D 2014","Hepatite D 2015","Hepatite D 2016","Hepatite D 2017","Hepatite D 2018","Hepatite D 2019","Hepatite D 2020","Hep D M Total","Hep D M 1999-2007","Hep D M 2008","Hep D M 2009","Hep D M 2010","Hep D M 2011","Hep D M 2012","Hep D M 2013","Hep D M 2014","Hep D M 2015","Hep D M 2016","Hep D M 2017","Hep D M 2018","Hep D M 2019","Hep D M 2020","Hep D F Total","Hep D F 1999-2007","Hep D F 2008","Hep D F 2009","Hep D F 2010","Hep D F 2011","Hep D F 2012","Hep D F 2013","Hep D F 2014","Hep D F 2015","Hep D F 2016","Hep D F 2017","Hep D F 2018","Hep D F 2019","Hep D F 2020","Óbitos D Total","Óbitos D 2000-2007","Óbitos D 2008","Óbitos D 2009","Óbitos D 2010","Óbitos D 2011","Óbitos D 2012","Óbitos D 2013","Óbitos D 2014","Óbitos D 2015","Óbitos D 2016","Óbitos D 2017","Óbitos D 2018","Óbitos D 2019"
110094,"Cujubim",4,0,0,0,0,0,0,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110100,"Governador Jorge Teixeira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
110110,"Itapuã do Oeste",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110120,"Ministro Andreazza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110130,"Mirante da Serra",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110140,"Monte Negro",11,2,1,2,2,0,0,2,0,1,0,0,0,0,1,6,1,1,1,1,0,0,0,0,1,0,0,0,0,1,5,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110143,"Nova União",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110145,"Parecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110146,"Pimenteiras do Oeste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110147,"Primavera de Rondônia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
